Module_ID	Stream_ID
1	4
1	1
1	2
1	3
2	4
2	1
2	2
2	3
3	4
3	1
3	2
3	3
4	4
4	1
4	2
4	3
5	4
5	1
5	2
5	3
6	4
6	1
6	2
6	3
7	4
7	1
7	2
7	3
8	4
8	1
8	2
8	3
9	4
9	1
9	2
9	3
10	4
10	1
10	2
10	3
11	1
12	2
13	4
13	1
13	2
13	3
14	1
15	2
16	2
17	2
18	2
19	3
20	3
21	3
22	4
22	1
22	3
23	1
24	1
25	4
25	3
26	2
27	4
28	4
28	1
28	2
28	3
29	1
29	2
30	4
30	3
31	4
31	3
32	4
33	4
34	4
35	1
36	1
37	4
37	1
37	2
37	3
38	3
39	4
39	1
39	2
39	3
40	3
41	1
42	2
43	2
40	4
